Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00+07:00,2533.947998046875,2576.055908203125,2532.89599609375,2575.4130859375,18339300,0,0
2010-01-05 00:00:00+07:00,2575.616943359375,2606.069091796875,2575.616943359375,2605.277099609375,57043800,0,0
2010-01-06 00:00:00+07:00,2605.48095703125,2622.115966796875,2587.7099609375,2603.297119140625,51569100,0,0
2010-01-07 00:00:00+07:00,2603.5009765625,2611.60302734375,2570.27294921875,2586.89501953125,45510800,0,0
2010-01-08 00:00:00+07:00,2586.79296875,2614.535888671875,2583.846923828125,2614.3701171875,73723500,0,0
2010-01-11 00:00:00+07:00,2615.60791015625,2649.197021484375,2615.60791015625,2632.2041015625,52891200,0,0
2010-01-12 00:00:00+07:00,2632.305908203125,2659.97607421875,2623.77392578125,2659.551025390625,57497400,0,0
2010-01-13 00:00:00+07:00,2657.903076171875,2657.903076171875,2623.4609375,2632.8720703125,42685500,0,0
2010-01-14 00:00:00+07:00,2633.58203125,2661.927978515625,2633.58203125,2645.180908203125,53126200,0,0
2010-01-15 00:00:00+07:00,2646.7529296875,2655.805908203125,2638.35595703125,2647.090087890625,47643800,0,0
2010-01-18 00:00:00+07:00,2645.44189453125,2648.924072265625,2629.907958984375,2642.548095703125,30861500,0,0
2010-01-19 00:00:00+07:00,2642.35400390625,2666.572998046875,2640.177978515625,2666.071044921875,32768000,0,0
2010-01-20 00:00:00+07:00,2666.577880859375,2689.77490234375,2655.0,2667.26611328125,36995600,0,0
2010-01-21 00:00:00+07:00,2664.658935546875,2664.658935546875,2621.360107421875,2638.382080078125,32438400,0,0
2010-01-22 00:00:00+07:00,2636.9619140625,2636.9619140625,2580.16796875,2610.340087890625,36693100,0,0
2010-01-25 00:00:00+07:00,2609.73095703125,2609.73095703125,2575.962890625,2597.860107421875,33669400,0,0
2010-01-26 00:00:00+07:00,2597.35302734375,2608.739990234375,2568.948974609375,2578.4150390625,42143000,0,0
2010-01-27 00:00:00+07:00,2577.907958984375,2594.24609375,2554.882080078125,2564.553955078125,26010100,0,0
2010-01-28 00:00:00+07:00,2565.3779296875,2619.97802734375,2565.3779296875,2619.56494140625,33551500,0,0
2010-01-29 00:00:00+07:00,2619.260986328125,2619.260986328125,2569.26611328125,2610.7958984375,21712000,0,0
2010-02-01 00:00:00+07:00,2610.593017578125,2610.593017578125,2571.759033203125,2587.549072265625,32319600,0,0
2010-02-02 00:00:00+07:00,2588.259033203125,2613.673095703125,2574.110107421875,2580.2509765625,30633100,0,0
2010-02-03 00:00:00+07:00,2580.656005859375,2606.282958984375,2580.656005859375,2604.549072265625,38272000,0,0
2010-02-04 00:00:00+07:00,2604.751953125,2610.367919921875,2589.054931640625,2593.219970703125,38026400,0,0
